sku,product_name,category,size_range,short_description,product_url
,CTM-02 Large Manual Tool,Fire Protection,,CTM-02 Large Manual Tool eases installation of most styles of Victaulic bolted split sleeve couplings.,https://www.victaulic.com/products/style-ctm-02-manual-assembly-closure-tool/
,AGS Full Flow Fittings with Vic-Rings,Fittings,,"AGS™ Full Flow Fittings with Vic-Rings | Sizes from 14 - 60"" | DN350 - DN1500. Fitting pressure ratings are equivalent to the Victaulic AGS™ coupling used to install them. Grooved ends eliminate pipe end preparation for the fittings",https://www.victaulic.com/products/ags-full-flow-fittings-with-vic-rings/
,AGS Grooved Fittings,Fittings,,"AGS™ Grooved Fittings | Sizes from 14 - 60"" | DN350 - DN1500. Fitting pressure ratings are equivalent to the Victaulic AGS™ coupling used to install them. Grooved ends eliminate pipe end preparation for the fittings",https://www.victaulic.com/products/ags-grooved-fittings/
W715,AGS Series W715 Double Disc Check Valve,Valves,,"Utilizes a spring-assisted, double disc design that achieves drop tight sealing. Can be installed in both horizontal or vertical flow up positions. Sizes from 14 - 24"" | DN350 -DN600",https://www.victaulic.com/products/series-w715-ags-vic-check-double-disc-valve/
W730,AGS Series W730 Tee Type Strainer,Fittings,,"Lighter than flanged wye-type strainers and provides straight-through flow for lower pressure drop. Sizes from 14 - 24"" | DN350 - DN600. Pressures up to 300 psi | 2068 kPa | 21 bar",https://www.victaulic.com/products/series-w730-ags-tee-type-strainer/
W731-D,AGS Series W731-D Suction Diffuser,Fire Protection,,"Allows building up at a 90° angle from the pump saving valuable space in the mechanical room while still protecting the pump against cavitation. Flanges may be machined to match most global (ANSI, DIN, GB, JIS, and AS-E) flange bolt hole patterns within the diffuser pressure rating. Sizes from 14 -",https://www.victaulic.com/products/series-w731-d-ags-suction-diffuser/
W732,AGS Series W732 Wye Type Strainer,Fire Protection,,"Provides straight-through flow for lower pressure drop. Sizes from 14 - 18"" | DN350 - DN450. Pressures up to 300 psi | 2068 kPa | 21 bar",https://www.victaulic.com/products/series-w732-ags-wye-type-strainer/
W155,AGS Style W155 Expansion Joint,Couplings,,"Style W155. Combination of Style W77 couplings and short nipples, joined in tandem to provide increased expansion. Sizes from 14 - 24"" | DN350 - DN600",https://www.victaulic.com/products/style-w155-ags-expansion-joint/
W256,AGS Style W256 Expansion Barrel,Fire Protection,,"Style W256. Designed for water and/or slurry services. For piping systems from 24 - 42"" | DN600 - DN1050. Provides up to 42"" | 1067 mm of in-line movement",https://www.victaulic.com/products/style-w256-ags-expansion-barrel/
769,FireLock NXT™ Series 769 Deluge Valve,Valves,,"Available bare, pretrimmed, as a Vic-Quick riser or in a Series 745 FireLock Fire-Pac cabinet. Sizes from 1½ - 8"" | DN40 - DN200. Pressures up to 300 psi | 2068 kPa | 21 bar",https://www.victaulic.com/products/series-769-firelock-nxt-deluge-system-check-valve/
FL-RES,FireLock™ Series FL-RES/DC Sprinklers,Sprinklers,,"V2742, K4.9 | 7.1 SI",https://www.victaulic.com/products/firelock-series-fl-res-dc-sprinkler/
869Y-2D,Series 869Y-2D Electrically Operated Remote Operation On/Off Deluge Valve,Valves,,Series 869Y-2D. Low-flow stability without an anti-cavitation accessory. Fully supported and reinforced diaphragm. No obstructions in the flow path,https://www.victaulic.com/products/869y-3d-electrically-operated-remote-operation-onoff-deluge-valve-for-fire-protection/
7C7,Series 7C7 Air Maintenance/Compressor Assembly,Fire Protection,,"Features riser mounted compressor, Series 757P air maintenance device, and flexible hoses for installation.",https://www.victaulic.com/products/air-maintenance-compressor-assembly-series-7c7/
972,Series 972 Pressure Reducing Valve,Valves,,Victaulic Series 972 | Bermad Model BC-720-P (Ductile iron body). Also available: Victaulic Series 972-SS (Stainless steel body). Sizes from 1 ½ - 8” | DN40 - DN200,https://www.victaulic.com/products/bermad-720-victaulic-972-pressure-reducing-valve/
,FireLock™ Installation-Ready™ Grooved Fittings,Fittings,,Convenience of a one-piece fitting with the dependability of the FireLock EZ Style 009N Rigid Coupling. Up to 4 times faster to install than traditional couplings and fittings. Up to 10 times faster to install than threading,https://www.victaulic.com/products/firelock-installation-ready-fittings/
004N,FireLock™ Installation-Ready™ Style 004N Flexible Coupling (US and Latin America Only),Couplings,,Firelock™ Installation-Ready™ Style 004N Flexible Coupling. The first Installation-Ready flexible coupling for fire protection.,https://www.victaulic.com/products/firelock-installation-ready-style-004n-flexible-coupling/
,StrengThin™ 100 Fittings for Thin Wall Stainless Steel,Fittings,,"Sizes from 2 - 12"" | DN50 - DN300. Fitting pressure ratings are equivalent to the coupling joint pressure rating of the Victaulic StrengThin™ 100 coupling used to install them. Designed for thin wall stainless steel pipe",https://www.victaulic.com/products/grooved-strengthin-100-fittings-for-thin-wall-stainless-steel/
622,Style 622 Mechanical-T Bolted Branch Outlet & Cross Assembly for Copper Tubing,Fire Protection,,"Style 622. Provides a direct branch connection at any location on K, L, and M copper tubing. Available for joining CTS copper tube. Sizes from 2½ - 4″ | DN65 - DN100",https://www.victaulic.com/products/mechanical-t-outlet-for-copper/
A190,No. A190 Carbon Steel Riser Movement Fitting,Fittings,,"For use on carbon steel NPS riser piping branch lines to accommodate movement of the riser. Provides 0.75"" deflection (up & down) within a 24"" shaft space.",https://www.victaulic.com/products/no-a190-carbon-steel-riser-movement-fitting/
A191,No. A191 Carbon Steel Anchor Outlet Fitting,Fittings,,For use on carbon steel NPS riser piping. Integrates an anchor to direct pipe movement. Provides branch line connection.,https://www.victaulic.com/products/no-a191-carbon-steel-anchor-outlet-fitting/
,QuickVic™ SD Installation-Ready™ System,Fire Protection,,Most economical and efficient pipe joining solution for Schedules 10 through 80 carbon steel piping systems sized 2”/DN50 and down. Style P07 Installation-Ready™ Coupling. Style P08 Installation-Ready™ Slip Coupling.,https://www.victaulic.com/products/quickvic-sd-installation-ready-system/
,Rigid and Flexible AGS Long Run Fittings,Fittings,,"One-piece manufactured long run fittings for mechanical room and distribution piping applications. Sizes from 14 - 24"" | DN350 - DN600.",https://www.victaulic.com/products/rigid-and-flexible-ags-long-run-fittings/
,Schedule 80 3D Long Radius Cast Ductile Iron Elbows,Fittings,,"Provides change in direction supplied with Victaulic EndSeal™ (ES) grooves. Available 3D radius in 90°, 45°, 22 ½°, 11 ¼° and 6° elbows.",https://www.victaulic.com/products/schedule-80-3d-long-radius-cast-ductile-iron-elbows/
159,Series 159 Flexible Loop for Steam,Fire Protection,,"Sizes from 2 – 8"" | DN50 – DN200. Steam & non-steam applications: Pressure up to 150 psi | 1034 kPa. -20°F to +366°F | -29°C to +186°C",https://www.victaulic.com/products/series-159-flexible-loop-for-steam/
386,Series 386 Pressure Reducing Valve Stations,Valves,,"Fully integrated, ready-to-install pressure reducing valve (PRV) station. For use in potable water systems to reduce and control system pressures to specified safe levels, independent of upstream pressure and flow variations. Offered in six standard configurations (Series 386A, 386B, 386C, 386D, 386",https://www.victaulic.com/products/series-386-pressure-reducing-valve-stations/
386-SB,Series 386-SB Single Branch Pressure Reducing Valve Station,Valves,,"Ready-to-install single-branch pressure reducing station. For use in potable water systems to reduce and control system pressures to specified safe levels, independent of upstream pressure and flow variations. Typically used in tight-space installations.",https://www.victaulic.com/products/series-386-sb-single-branch-pressure-reducing-valve-station/
386-V,Series 386-V Vertical Pressure Reducing Valve Stations,Valves,,"Fully integrated, ready-to-install vertical pressure reducing valve (PRV) station. For use in potable water systems to reduce and control system pressures to specified safe levels, independent of upstream pressure and flow variations. Typically used in tight-space installations.",https://www.victaulic.com/products/series-386-v-vertical-pressure-reducing-valve-stations/
746-LPA,FireLock™ Series 746-LPA Dry Accelerator,Fire Protection,,Designed for Series 768N dry and Series 769N preaction valves in order to speed response time and/or accommodate larger system. System air pressures ranging from 13 psi | 90 kPa | 0.9 bar to 18 psi | 124 kPa | 1.2 bar. Pressures up to 300 psi | 2068 kPa | 21 bar,https://www.victaulic.com/products/series-746-lpa-firelock-dry-accelerator/
755,FireLock™ Series 755 Manual Release Panel,Fire Protection,,Operates as a manual actuating device. Contains a special quarter turn ball valve mounted in a painted steel enclosure. Pressures up to 300 psi | 2068 kPa | 21 bar,https://www.victaulic.com/products/series-755-firelock-manual-release-panel/
75B,FireLock™ Series 75B Supplemental Alarm Kit,Fire Protection,,Ensures that the mechanical alarm continues even if the clapper closes and water fills above it in the system. Pressures up to 300 psi | 2068 kPa | 21 bar,https://www.victaulic.com/products/series-75b-firelock-supplemental-alarm-kit/
760,FireLock NXT™ Series 760 Water Motor Alarm,Fire Protection,,"Mechanical, water-powered device signaling the flow of water in an automatic sprinkler system. For wall thicknesses 2 - 13"" | 51 - 330 mm. Red enamel is standard finish for the gong shell",https://www.victaulic.com/products/series-760-firelock-water-motor-alarm/
767,Series 767 Electric/Pneumatic Double Interlock Actuator,Fire Protection,,"Designed for a single trip point for the pneumatic event, regardless of water supply pressure, and an integral electric solenoid. Uses a ½"" | 15 mm NPT connection, wired for 24 VDC. Pressures up to 300 psi | 2068 kPa | 21 bar",https://www.victaulic.com/products/series-767-firelock-electricpneumatic-actuator/
769N,FireLock NXT™ Series 769N Deluge Valve,Valves,,"For use where water curtains and fast water delivery are required such as highly-flammable material storage facilities or airplane hangars. Actuation options: Series 753-E solenoid actuator, Series 776 low-pressure actuator. Available bare, pretrimmed, as a Vic-Quick riser or in a Series 745 FireLoc",https://www.victaulic.com/products/series-769n-firelock-nxt-deluge-system-check-valve/
798,FireLock NXT™ Series 798 Double Pneumatic Actuator,Fire Protection,,Designed to actuate at 7 psi | 48 kPa | 0.5 bar for both the pilot and sprinkler system. Pressures up to 300 psi | 2068 kPa | 21 bar,https://www.victaulic.com/products/series-798-firelock-double-pneumatic-actuator/
867-43T,Series 867-43T Pressure Relief Valve,Valves,,"Series 867-43T. Low-flow stability without an anti-cavitation accessory. Fully supported and reinforced diaphragm, no obstructions in the flow path.",https://www.victaulic.com/products/series-867-43t-pressure-relief-valve/
867-7UF,Series 867-7UF Pressure Relief Valve,Valves,,Designed for Fire Protection applications. Double chamber actuator provides rapid response to changing system conditions. Advanced actuator design increases operating life,https://www.victaulic.com/products/series-867-7uf-pressure-relief-valve/
E125,StrengThin™ 100 Series E125 Installation-Ready™ Butterfly Valve for Stainless Steel,Valves,,Exclusively for use on thin wall stainless steel pipe which features Victaulic’s proprietary StrengThin™ 100 groove profile.,https://www.victaulic.com/products/series-e125-strengthin-100-installation-ready-butterfly-valve-for-stainless-steel/
,QuickVic™ Grooved Fittings,Fittings,,"Grooved QuickVic™ Fittings: Compact, full-flow design optimal for use in tight spaces | Sizes from 2’’ – 12’’ I DN50 – DN300",https://www.victaulic.com/products/grooved-quickvic-fittings/
973-Q,Series 973-Q Pressure Relief Valve,Valves,,Victaulic Series 973-Q |Bermad Model BC-73Q-P – Pressure up to 250 psi | 1724 kPa | 17 bar. Also available: Victaulic Series 973-QHP – Pressure up to 400 psi | 2758 kPa |28 bar. Sizes from 1 ½ - 4” | DN40 - DN100,https://www.victaulic.com/products/bermad-73q-victaulic-973q-pressure-relief-valve/
979-4,Series 979-4 Excessive Pressure Shut-Off Valve,Valves,,Victaulic Series 979-4 |Bermad Model BC-794-P – Pressure up to 250 psi | 1724 kPa | 17 bar. Also available: Victaulic Series 979-4HP – Pressure up to 400 psi | 2758 kPa |28 bar. Sizes from 1 ½ - 8” | DN40 – DN200,https://www.victaulic.com/products/bermad-794p-victaulic-9794-excessive-pressure-shut-off-valve/
700,Bermad Series 700 | Victaulic Series 970,Fire Protection,,"Bermad Series 700. Hydraulic control valves are devices capable of controlling variables such as pressure, flow, or level. Optional configurations include: On/Off, Pressure Reducing, Pressure Relief, Pressure Sustaining, and Flow Control (Customized solutions can include combinations of the above functions).",https://www.victaulic.com/products/bermad-series-700-victaulic-series-970/
800,Bermad Series 800 | Victaulic Series 980,Fire Protection,,"Bermad Series 800. Hydraulic control valves are devices capable of controlling variables such as pressure, flow, or level. Optional configurations include: On/Off, Pressure Reducing, Pressure Relief, Pressure Sustaining, and Flow Control (Customized solutions can include combinations of the above functions).",https://www.victaulic.com/products/bermad-series-800-victaulic-series-980/
9A7,Bermad Model A71 | Victaulic Series 9A7 Air Valve,Valves,,"Automatic air release valves allow efficient release of air bubbles from pressurized pipelines. Body material: Type 316 stainless steel. Sizes from ¾ – 1"" | DN20 – DN25",https://www.victaulic.com/products/bermad-series-a71-victaulic-series-9a7/
9C3,Bermad Model C30 | Victaulic Series 9C3 Air Valve,Valves,,"Combination air release valves release air bubbles from pressurized pipelines while evacuating air during pipeline filling and draining. Body material: Glass reinforced nylon. Sizes from ¾ – 1"" | DN20 – DN25",https://www.victaulic.com/products/bermad-series-c30-victaulic-series-9c3/
935-H,Series 935-H Direct Acting Pressure Reducing Valve,Valves,,"Victaulic Series 935-H | Bermad Model BC-CAP-P. Sizes from 1/2 - 2"" | DN15 - DN50. Pressure up to 300 psi | 2038 kPa | 21 bar",https://www.victaulic.com/products/direct-acting-pressure-reducing-valve/
972-2B,Series 972-2B Pressure Reducing Valve with Low-Flow Bypass,Valves,,"Victaulic Series 972-2B | Bermad Model BC-720-2B-P. Sizes from 1/2 - 8"" | DN15 - DN200. Pressure up to 300 psi | 2038 kPa | 21 bar",https://www.victaulic.com/products/pressure-reducing-valve-low-flow-bypass/
2906,Aquamine™ Series 2906 Adapter Nipple for PVC,Fire Protection,,"Series 2906. Sizes from 2 - 12"" | DN50 - DN300. Pressures up to 350 psi | 2413 kPa | 24 bar",https://www.victaulic.com/products/series-2906-aquamine-adapter-nipple-for-pvc/
2971,Aquamine™ Series 2971 Transition Coupling for PVC to HDPE,Couplings,,"Provides convenient transition from PVC to HDPE without need for special adapters. Sizes from 2 - 8"" | DN50 - DN200. Pressures up to 350 psi | 2413 kPa | 24 bar",https://www.victaulic.com/products/series-2971-aquamine-transition-coupling-for-pvc-to-hdpe/
2972,Aquamine™ Series 2972 Transition Coupling for PVC,Couplings,,"Provides convenient transition from PVC to grooved steel without need for special adapters. Sizes from 2 - 8"" | DN50 - DN200. Pressures up to 350 psi | 2413 kPa | 24 bar",https://www.victaulic.com/products/series-2972-aquamine-transition-coupling-for-pvc/
723,Series 723 Three Port Diverter Ball Valve,Valves,,"NACE MR-01-75 compliant, three-port ball valve with common bottom inlet for diverting flow 90° left or right. Available without handle, with lever or gear operator. Available in 2"" | DN50",https://www.victaulic.com/products/series-723-three-port-diverter-ball-valve/
761,Vic-300™ MasterSeal™ Series 761 Butterfly Valve,Valves,,"Designed for bi-directional, dead end services to full working pressure. Available without handle, with gear operator, with lever lock handle and memory stop or with 10-position handle and memory stop. Sizes from 2 - 12"" |DN50 - DN300",https://www.victaulic.com/products/series-761-vic-300-masterseal-butterfly-valve/
816,Series 816 Stainless Steel Check Valve for Potable Water Applications,Valves,,"For use on stainless steel, galvanized carbon steel, and CPVC/PVC potable water piping systems only. Sizes from 2 – 12” | DN50 – DN300.",https://www.victaulic.com/products/series-816-stainless-steel-check-valve-for-potable-water-applications/
FL-SA,FireLock™ Series FL-SA/NZ Directional Nozzles,Sprinklers,,Nozzles. K1.2 - 7.2 | S.I.1.7 - 10.4. Open Spray Nozzle,https://www.victaulic.com/products/firelock-model-v1201-v1278/
869Y-2DC,"Series 869Y-2DC Electrically Operated Remote Operation On/Off, Downstream Pressure Control Deluge Valve",Valves,,Series 869Y-2DC. Low-flow stability without an anti-cavitation accessory. Fully supported and reinforced diaphragm. No obstructions in the flow path,https://www.victaulic.com/products/series-869y-3dc-electrically-operated-remote-operation-onoff-downstream-pressure-control-deluge-valve-for-fire-protection/
107V,QuickVic™ Style 107V Rigid Coupling,Couplings,,Style 107V QuickVic™ Rigid Coupling | Shift limiting slant pad provides rigidity | Sizes from 2’’ – 12’’ I DN50 – DN300,https://www.victaulic.com/products/style-107v-quickvic-rigid-coupling/
FL-QR,FireLock™ Series FL-QR Sprinklers,Sprinklers,,"FireLock™ Series FL-QR Sprinklers: Upright: V2815, V4215, V2704, V3402 | Pendent and Recessed Pendent: V2801, V4201, V2708, V3406",https://www.victaulic.com/products/firelock-series-fl-qr-sprinklers/
FL-SR,FireLock™ Series FL-SR Sprinklers,Sprinklers,,"FireLock™ Series FL-SR Sprinklers: Upright: V2861, V4261, V2703, V3401 | Pendent and Recessed Pendent: V2851, V4251, V2707, V3405",https://www.victaulic.com/products/firelock-series-fl-sr-sprinklers/
GH1,VicFlex™ Series GH1 Flexible Fitting,Fittings,,"100% Victaulic® design and manufacturingUp to 10× faster than threaded black pipe, 100% kink resistantPipe-to-pipe connection to avoid obstructions or offsetsMinimum bend radius: 2″ | 51 mmSizes from 31 – 72″ | 790 – 1830 mmPressures up to 200 psi | 1375 kPa",https://www.victaulic.com/products/vicflex-series-gh1-flexible-fitting/
,VAP131 Fabrication Cell,Fire Protection,,"Turn-key, fab-shop solution. Maximize productivity gains associated with Victaulic® grooved systems. Includes hydraulic adjustable pipe stand and tracks, tool support, two adjustable positioner tables, an assembly table, as well as caster wheels and ball transfers VAP131R VICTAULIC HYDRAULIC,",https://www.victaulic.com/products/style-vaps131-vic-easy-adjustable-pipe-stand/
722L,Series 722L Brass Body Ball Valve,Valves,,"Full port, female-threaded end valve for on/off service in potable water systems. Sizes from¼ - 2""/DN8 - DN50. Pressures up to 600 psi | 4137 kPa | 41 bar",https://www.victaulic.com/products/series-722l-brass-body-ball-valve/
926,Style 926 Mechanical-T Spigot Outlet,Fire Protection,,"Style 926. Designed to provide an outlet connection on HDPE, steel, and ductile iron pipe materials in IPS, ISO, and DIPS pipe sizes. 4"" outlets available for 10 – 32"" IPS pipe diameters. 6"" outlets available for 16 – 48"" IPS pipe diameters",https://www.victaulic.com/products/style-926-mechanical-t-spigot-outlet/
927-,FireLock™ Mechanical-T Bolted Branch Outlet Style 927- (APAC Only),Fire Protection,,Provides a direct branch connection at any location a hole can be cut in the pipe.This product is designed for fire protection systems only.,https://www.victaulic.com/products/victaulic-firelock-mechanical-t-bolted-branch-outlet-style-927-apac-only/
927,FireLock™ Mechanical-T Bolted Branch Outlet Style 927,Fire Protection,,Browse manuals and submittal forms.,https://www.victaulic.com/products/firelock-mechanical-t-bolted-branch-outlet-style-927/
861,MasterSeal™ Series 861 Vic-300™ Stainless Steel Butterfly Valve for Potable Water Applications,Valves,,"Designed for bi-directional, dead-end services to full working pressure. Sizes from 2 – 12” | DN50 – DN300. Pressures up to 300 psi | 2068 kPa | 21 bar.",https://www.victaulic.com/products/series-861-vic-300-masterseal-stainless-steel-butterfly-valve-for-potable-water-applications/
FL-SA,FireLock™ Series FL-SA/DS Attic Sprinklers,Sprinklers,,"FireLock™ Series FL-SA/DS Attic Sprinkler: V5621, K5.6 | 8.1 SI | Low Flow Attic Scheme",https://www.victaulic.com/products/firelock-series-fl-sa-ds-sprinkler/
FL-SA,FireLock™ Series FL-SA/RE Attic Sprinklers,Sprinklers,,"FireLock™ Series FL-SA/RE Attic Sprinkler: V5620, K5.6 | 8.1 SI | Low Flow Attic Scheme",https://www.victaulic.com/products/firelock-series-fl-sa-re-sprinkler/
FL-SR,FireLock™ Series FL-SR/ST/CMSA Pendent Sprinklers,Sprinklers,,"V4601, K25.2 | 36.8 SI",https://www.victaulic.com/products/firelock-series-fl-sr-st-cmsa-pendent-sprinkler/
FL-SR,FireLock™ Series FL-SR/ST/CMSA Upright Sprinklers,Sprinklers,,"V4603, K25.2 | 36.8 SI",https://www.victaulic.com/products/firelock-series-fl-sr-st-cmsa-upright-sprinkler/
A81,"Nos. A81, A82, A83 and A84 Pipe Clamp Anchors",Fire Protection,,"Engineered pipe clamp anchor can be connected to the existing concrete and steel structure to direct the piping movement and distribute the load from the piping system to the supporting structureSizes from 2 – 12""/DN50 – DN300No. A81 Long Adjustable Pipe Clamp AnchorNo. A82 Short Adjustable Pipe Clamp AnchorNo. A83 Long Fixed Pipe Clamp AnchorNo. A84 Short Fixed Pipe Clamp AnchorFor use on Schedule 40 or greater carbon steel pipeRegional availability, contact Victaulic for details",https://www.victaulic.com/products/victaulic-pipe-clamp-anchors-nos-a81-a82-a83-and-a84/
,PGS-300™ Grooved End Fittings,Fittings,,"Designed for use on chlorinated polyvinyl chloride/polyvinyl chloride (CPVC/PVC) pipe featuring the Victaulic PGS-300 groove profile. Sizes from 2 - 12""/DN50 - DN300. Refer to the submittal for maximum pressure ratings and temperature reduction factors",https://www.victaulic.com/products/pgs-300-grooved-end-fittings/
2904,Aquamine™ Series 2904 Coupling for PVC,Couplings,,"Series 2904. Sizes from 2 - 12"" | DN50 - DN300. Pressures up to 350 psi | 2413 kPa | 24 bar",https://www.victaulic.com/products/series-2904-aquamine-coupling-for-pvc/
751,FireLock™ Series 751 European Alarm Check Valve Stations,Valves,,"Prevents the reverse flow of water from the system piping to the water supply. Sizes from 1½ - 8"" | 40 - 200 mm. Pressures up to 300 psi | 2068 kPa | 21 bar",https://www.victaulic.com/products/series-751-firelock-alarm-check-valve-vds-trim/
776,FireLock NXT™ Series 776 Low Pressure Actuator,Fire Protection,,"Designed for a single trip point for the pneumatic event, regardless of water supply pressure. Comes standard on Series 768 dry, Series 769 deluge and Series 769 preaction FireLock NXT valves. Pressures up to 300 psi | 2068 kPa | 21 bar",https://www.victaulic.com/products/series-776-firelock-low-pressure-actuator/
355,PGS-300™ Style 355 Expansion Joint For CPVC/PVC Pipe,Couplings,,Style 355. Style 355 – Intended for use in non-potable water systems. Style 355P – Intended for use in potable water systems. Designed for use on chlorinated polyvinyl chloride/polyvinyl chloride (CPVC/PVC) pipe featuring the Victaulic PGS-300 groove profile,https://www.victaulic.com/products/style-355-pgs-300-expansion-joint/
RG4200,RG4200 Roll Grooving Tool,Fire Protection,,Production roll grooving tool designed for fabrication shop use Grooving Capability: Carbon Steel (Schedule 7 – 40): 1″ | […],https://www.victaulic.com/products/rg4200-roll-grooving-tool/
744,Style 744 FireLock™ Flange Adapter,Fire Protection,,"Style 744. ANSI Class 125 and 150 flanges. Sizes 2 - 8"" | 50 - 200 mm. Pressures up to 175 psi | 1207 kPa | 12 bar",https://www.victaulic.com/products/style-744-firelock-flange-adapter/
124,Installation-Ready™ Series 124 Rubber-Lined Butterfly Valve with Stainless Steel Disc,Valves,,Exclusively for use on stainless steel pipe which features ends with the Victaulic Original Groove System (OGS) groove profile.,https://www.victaulic.com/products/series-124-installation-ready-rubber-lined-butterfly-valve/
FL-SR,FireLock™ Series FL-SR/DRY Sprinklers,Sprinklers,,Series FL-SR/DRY. Light | Ordinary | Extra | Storage. K5.6 | S.I.8.1,https://www.victaulic.com/products/firelock-model-v3601/
PS3400,PS3400 Adjustable Pipe Stand,Fire Protection,,Turnstile design allows pipe to be spun around for grooving of both pipe ends without dismounting pipe from stand Forward/traverse movement,https://www.victaulic.com/products/ps3400-adjustable-pipe-stand/
W719,Series W719 Butterfly Valve,Valves,,"Valve design, materials and testing conform to the requirements of AWWA C504. 1/2 the weight of a flanged valve. Sizes from 14 - 60'' / DN350 - DN1500",https://www.victaulic.com/products/series-w719-butterfly-valve/
,Styles 743 Vic-Flange Adapter,Fire Protection,,"ANSI Class 300 flanges. Sizes from 2 - 12"" | 50 - 300 mm. Pressures up to 720 psi | 4964 kPa | 50 bar",https://www.victaulic.com/products/styles-743-vic-flange-adapter/
,FireLock™ IGS™ Installation-Ready™ Fittings,Fittings,,No. 142 Welded Outlet. NAP-1 Weld Plunger Cone. WB-1 Weld Plunger Cone,https://www.victaulic.com/products/firelock-igs-groove-system-fittings/
771P,Series 771P and Series 772P Potable Water Entry Gate Valves,Valves,,Series 771P: Provides positive shutoff and a quick visual indicator of open or closed position Series 772P: Provides remote […],https://www.victaulic.com/products/series-771p-and-series-772p-potable-water-entry-gate-valves/
RG3400,RG3400 Roll Grooving Tool,Fire Protection,,Field and shop fabrication roll grooving tool Improves the accuracy and productivity of the pipe grooving process Grooving Capability […],https://www.victaulic.com/products/rg3400-roll-grooving-tool/
RG2300,RG2300 Combo Roll Grooving Tool,Fire Protection,,In-air or power-driven roll grooving tool for 1-12″ OGS and 1″ IGS field fabrication Includes a full package of […],https://www.victaulic.com/products/rg2300-combo-roll-grooving-tool/
VS1,VicFlex™ Dry Sprinkler Series VS1,Sprinklers,,Series VS1. cULus Listed. K5.6 Commercial. Quick and Standard Response,https://www.victaulic.com/products/vicflex-dry-sprinkler-style-vs1/
W761,AGS Vic-300™ Series W761 Butterfly Valve,Valves,,"Offers an easily installed choice to cumbersome, multi-bolt wafer or lug-type flanged valves. Sizes from 14 - 24"" | DN350 - DN600. Pressures up to 300 psi | 2068 kPa | 21 bar",https://www.victaulic.com/products/ags-series-w761-vic-300-butterfly-valve/
009V,FireLock™ Installation-Ready™ Style 009V Rigid Coupling,Couplings,,US ONLY – Contact your local sales representative for availability. Designed to provide a rigid pipe joint in sprinkler […],https://www.victaulic.com/products/style-009v-firelock-installation-ready-rigid-coupling/
07,Zero-Flex™ Style 07 Rigid Coupling,Couplings,,"Style 07. Angled bolt pad provides rigidity. Sizes from 1 - 12"" | DN25 - DN300. Pressures up to 750 psi | 5171 kPa | 52 bar",https://www.victaulic.com/products/style-07-zero-flex-rigid-coupling/
77S,Style 77S Stainless Steel Type 316 Flexible Coupling,Couplings,,"Style 77S. Provides a rugged mechanical joint for grooved end stainless steel piping systems. Sizes from 8 - 18"" | DN200 - DN450. Pressures up to 300 psi | 2068 kPa | 21 bar",https://www.victaulic.com/products/style-77s-stainless-steel-type-316-flexible-coupling/
,Grooved Fittings for Copper Tubing,Fittings,,"Full-flow, standard radius copper fittings are supplied as either roll grooved wrought copper or bronze fittings. Designed for installation of copper systems. Grooved fittings available for joining CTS copper, Australian Standard copper and UK copper",https://www.victaulic.com/products/grooved-fittings-for-copper/
489,Style 489 Stainless Steel Type 316 Rigid Coupling,Couplings,,"Style 489. Greatly reduces linear or angular movement and is useful for valve connections where rigidity is required. Sizes from 1½ - 12"" | DN40 - DN300. Pressures up to 600 psi | 4137 kPa | 41 bar",https://www.victaulic.com/products/style-489-stainless-steel-type-316-rigid-coupling/
75,Style 75 Flexible Coupling,Couplings,,"Style 75. Lightweight coupling for moderate pressures. Sizes from 1 - 8"" | DN25 - DN200. Pressures up to 500 psi | 3447 kPa | 34 bar",https://www.victaulic.com/products/style-75-flexible-coupling/
77DX,Style 77DX Duplex Stainless Steel Flexible Coupling,Couplings,,"Style 77DX. Designed to provide a rugged mechanical joint for roll grooved stainless steel systems. Optional super duplex stainless steel housing. Sizes from ¾ - 6"" | DN20 - DN150",https://www.victaulic.com/products/style-77dx-duplex-stainless-steel-flexible-coupling/
89,Style 89 Rigid Coupling for Stainless Steel,Couplings,,"Style 89. Greatly reduces linear or angular movement and is useful for valve connections where rigidity is required. Galvanized coated ductile iron coupling. Sizes from 2 - 12"" | 50 - 300 mm",https://www.victaulic.com/products/style-89-rigid-coupling-for-stainless-steel/
606,Style 606 Rigid Coupling for Copper,Couplings,,"Style 606. Eliminates brazing or soldering. Available for joining European Standard (EN) and Australian Standard (AS) copper tube. Available in sizes from 2 - 6"" | DN50 - DN150",https://www.victaulic.com/products/style-606-rigid-coupling-for-copper/
,Grooved Fittings for EndSeal™ System,Fittings,,"For plastic coated pipe or high pressure rigid systems. Schedule 80 wall thickness for use with HP-70ES couplings. Fitting sizes from 2 - 6"" | DN50 - DN150",https://www.victaulic.com/products/grooved-fittings-for-endseal-schedule-80-system/
AQC-U,VicFlex™ Series AQC-U – Cleanroom,Fire Protection,,"Clean room applications. Minimum bend radius: FM 6"" | 150 mm. Sizes from 24 - 72"" | 610 - 1830 mm",https://www.victaulic.com/products/vicflex-series-aqc-u-cleanroom/
771A,Series 771A Gate Valve,Valves,,Series 771A Gate Valve. Available as Groove × Groove. Used for on/off service only. Sizes from 2½ – 12″ | DN65 – DN300,https://www.victaulic.com/products/series-771a-772a-gate-valve/
